context,layer,motif,mean_weight,std_weight,events,tokens
eval_init:wiki,layer_10,expand,1.0,0.0,4,512
eval_init:wiki,layer_10,select,1.0,0.0,4,512
eval_init:wiki,layer_10,memory,1.0,0.0,4,512
eval_init:wiki,layer_10,compose,1.0,0.0,4,512
eval_init:wiki,layer_10,code_syntax,1.0,0.0,4,512
eval_init:wiki,layer_10,math_reason,1.0,0.0,4,512
eval_init:wiki,layer_11,expand,1.0,0.0,4,512
eval_init:wiki,layer_11,select,1.0,0.0,4,512
eval_init:wiki,layer_11,memory,1.0,0.0,4,512
eval_init:wiki,layer_11,compose,1.0,0.0,4,512
eval_init:wiki,layer_11,code_syntax,1.0,0.0,4,512
eval_init:wiki,layer_11,math_reason,1.0,0.0,4,512
eval_init:news,layer_10,expand,1.0,0.0,4,512
eval_init:news,layer_10,select,1.0,0.0,4,512
eval_init:news,layer_10,memory,1.0,0.0,4,512
eval_init:news,layer_10,compose,1.0,0.0,4,512
eval_init:news,layer_10,code_syntax,1.0,0.0,4,512
eval_init:news,layer_10,math_reason,1.0,0.0,4,512
eval_init:news,layer_11,expand,1.0,0.0,4,512
eval_init:news,layer_11,select,1.0,0.0,4,512
eval_init:news,layer_11,memory,1.0,0.0,4,512
eval_init:news,layer_11,compose,1.0,0.0,4,512
eval_init:news,layer_11,code_syntax,1.0,0.0,4,512
eval_init:news,layer_11,math_reason,1.0,0.0,4,512
eval_init:reviews,layer_10,expand,1.0,0.0,4,512
eval_init:reviews,layer_10,select,1.0,0.0,4,512
eval_init:reviews,layer_10,memory,1.0,0.0,4,512
eval_init:reviews,layer_10,compose,1.0,0.0,4,512
eval_init:reviews,layer_10,code_syntax,1.0,0.0,4,512
eval_init:reviews,layer_10,math_reason,1.0,0.0,4,512
eval_init:reviews,layer_11,expand,1.0,0.0,4,512
eval_init:reviews,layer_11,select,1.0,0.0,4,512
eval_init:reviews,layer_11,memory,1.0,0.0,4,512
eval_init:reviews,layer_11,compose,1.0,0.0,4,512
eval_init:reviews,layer_11,code_syntax,1.0,0.0,4,512
eval_init:reviews,layer_11,math_reason,1.0,0.0,4,512
eval_init:paper,layer_10,expand,1.0,0.0,1,128
eval_init:paper,layer_10,select,1.0,0.0,1,128
eval_init:paper,layer_10,memory,1.0,0.0,1,128
eval_init:paper,layer_10,compose,1.0,0.0,1,128
eval_init:paper,layer_10,code_syntax,1.0,0.0,1,128
eval_init:paper,layer_10,math_reason,1.0,0.0,1,128
eval_init:paper,layer_11,expand,1.0,0.0,1,128
eval_init:paper,layer_11,select,1.0,0.0,1,128
eval_init:paper,layer_11,memory,1.0,0.0,1,128
eval_init:paper,layer_11,compose,1.0,0.0,1,128
eval_init:paper,layer_11,code_syntax,1.0,0.0,1,128
eval_init:paper,layer_11,math_reason,1.0,0.0,1,128
eval_init:code,layer_10,expand,1.0,0.0,4,512
eval_init:code,layer_10,select,1.0,0.0,4,512
eval_init:code,layer_10,memory,1.0,0.0,4,512
eval_init:code,layer_10,compose,1.0,0.0,4,512
eval_init:code,layer_10,code_syntax,1.0,0.0,4,512
eval_init:code,layer_10,math_reason,1.0,0.0,4,512
eval_init:code,layer_11,expand,1.0,0.0,4,512
eval_init:code,layer_11,select,1.0,0.0,4,512
eval_init:code,layer_11,memory,1.0,0.0,4,512
