step,domain,patched_train_loss,baseline_train_loss,delta_vs_baseline
1,wiki,3.3501131534576416,3.3513481616973877,0.0012350082397460938
2,news,4.0535783767700195,4.057369232177734,0.0037908554077148438
3,reviews,3.3739125728607178,3.375380516052246,0.0014679431915283203
4,paper,3.1331565380096436,3.129559278488159,-0.003597259521484375
5,code,1.3325819969177246,1.3324350118637085,-0.00014698505401611328
6,math,1.4331272840499878,1.4353865385055542,0.0022592544555664062
7,wiki,4.230714321136475,4.234865188598633,0.004150867462158203
8,news,4.141171932220459,4.15521764755249,0.01404571533203125
9,reviews,4.024683952331543,4.025427341461182,0.0007433891296386719
10,paper,5.265293598175049,5.270807266235352,0.005513668060302734
11,code,1.7115960121154785,1.7130632400512695,0.0014672279357910156
12,math,2.033418655395508,2.0329103469848633,-0.0005083084106445312
13,wiki,3.8435773849487305,3.8527486324310303,0.009171247482299805
14,news,3.948976516723633,3.9755258560180664,0.026549339294433594
15,reviews,3.659245014190674,3.6572141647338867,-0.0020308494567871094
16,paper,4.394201278686523,4.438389301300049,0.04418802261352539
17,code,1.7984670400619507,1.8074591159820557,0.00899207592010498
18,math,1.5473836660385132,1.5525954961776733,0.005211830139160156
19,wiki,4.061997413635254,4.123770236968994,0.061772823333740234
20,news,3.771141290664673,3.77298903465271,0.0018477439880371094
21,reviews,3.769745349884033,3.7705554962158203,0.0008101463317871094
22,paper,3.9409871101379395,3.9608097076416016,0.01982259750366211
23,code,1.8992491960525513,1.8966951370239258,-0.0025540590286254883
24,math,1.2769383192062378,1.276702880859375,-0.00023543834686279297
25,wiki,3.7063138484954834,3.715214967727661,0.008901119232177734
26,news,3.8644399642944336,3.9630980491638184,0.09865808486938477
27,reviews,4.057523727416992,4.064298152923584,0.006774425506591797
28,paper,4.444918632507324,4.474099636077881,0.02918100357055664
29,code,1.4316766262054443,1.4419445991516113,0.010267972946166992
30,math,2.054229497909546,2.0711991786956787,0.016969680786132812
31,wiki,3.816476345062256,3.8482370376586914,0.03176069259643555
32,news,3.5728418827056885,3.6136560440063477,0.04081416130065918
33,reviews,3.6025304794311523,3.6116673946380615,0.00913691520690918
34,paper,4.716427803039551,4.888067245483398,0.17163944244384766
35,code,1.671514868736267,1.6688213348388672,-0.0026935338973999023
36,math,2.3268325328826904,2.342115879058838,0.015283346176147461
37,wiki,3.2699992656707764,3.2731544971466064,0.003155231475830078
38,news,3.8817148208618164,3.975133180618286,0.09341835975646973
39,reviews,3.7655086517333984,3.7581405639648438,-0.0073680877685546875
40,paper,5.045012950897217,5.229675769805908,0.1846628189086914
41,code,1.987640142440796,2.003263473510742,0.015623331069946289
42,math,1.5758755207061768,1.5907917022705078,0.014916181564331055
43,wiki,3.991702079772949,4.04217004776001,0.05046796798706055
44,news,3.798825740814209,3.917381763458252,0.11855602264404297
45,reviews,3.9495739936828613,3.9764633178710938,0.026889324188232422
46,paper,4.173699378967285,4.414379596710205,0.24068021774291992
47,code,1.1359455585479736,1.159883737564087,0.02393817901611328
48,math,1.6519924402236938,1.6723283529281616,0.020335912704467773
49,wiki,4.1270222663879395,4.326956272125244,0.1999340057373047
50,news,4.134493827819824,4.351304054260254,0.2168102264404297
51,reviews,4.212340831756592,4.2201642990112305,0.007823467254638672
52,paper,3.405524492263794,3.5471749305725098,0.14165043830871582
53,code,1.9716119766235352,1.9904576539993286,0.018845677375793457
54,math,2.3599460124969482,2.3780767917633057,0.018130779266357422
55,wiki,3.8884050846099854,3.8909201622009277,0.002515077590942383
56,news,3.2924671173095703,3.4519059658050537,0.1594388484954834
